plotID;treeID;sampling_date;Species;N;C;CN;Al;Ca;Fe;K;Mg;Mn;Na;P;Si
KBPL5;1205;22.12.2018;Tabernaemontana Johnstonii;3.540;44.640;12.600;966.790;7530.100;355.990;27227.500;6482.740;2180.900;37.470;2046.000;312.900
KBPL5;1211;22.12.2018;Allophylus Kivuensis;4.180;45.300;10.830;147.400;6470.140;411.560;24171.130;5357.960;727.410;21.060;2787.140;493.870
KBPL5;1218;22.12.2018;Dombeya Goetzenii;3.880;45.540;11.750;310.630;8051.940;534.240;41556.910;3321.620;229.950;34.930;3521.210;366.590
KBPL5;1225;22.12.2018;Allophylus Kivuensis;4.950;46.260;9.340;182.870;3799.040;409.010;22556.290;3533.580;312.650;33.430;3913.090;456.200
KBPL5;1226;22.12.2018;Allophylus Kivuensis;4.280;46.550;10.870;166.970;9211.650;443.980;13283.370;5712.930;707.710;39.840;2331.850;508.490
KBPL5;1252;22.12.2018;Dombeya Goetzenii;3.500;46.170;13.210;481.490;9398.610;782.900;31962.470;3425.430;299.510;41.700;2562.910;420.830
KBPL9;1262;22.12.2018;Neoboutonia Macrocalyx;4.110;46.540;11.310;170.340;8825.820;158.250;12852.820;4787.200;274.330;117.500;2853.540;496.020
KBPL9;1277;22.12.2018;Alangium Chinense;4.030;46.280;11.470;68.120;8443.380;128.460;18042.920;3943.360;68.120;50.610;2855.340;155.710
KBPL9;1278;22.12.2018;Alangium Chinense;4.620;45.930;9.940;83.470;10872.030;141.700;18052.120;4280.100;91.230;67.940;3086.330;236.810
KBPL9;1279;22.12.2018;Alangium Chinense;4.500;46.330;10.310;75.410;11222.460;168.680;16177.810;3965.070;85.330;71.440;2808.100;196.470
KBPL9;1280;22.12.2018;Neoboutonia Macrocalyx;3.670;46.410;12.660;272.430;10264.500;242.570;10966.090;5998.970;313.480;138.080;2492.890;621.360
KBPL9;1294;22.12.2018;Dombeya Goetzenii;4.610;43.000;9.330;235.800;9479.990;318.240;45448.360;4662.350;218.550;57.510;4048.890;383.420
KBPL9;1295;22.12.2018;Myrianthus Holstii;2.640;45.120;17.070;181.110;6369.270;215.420;11764.370;3728.910;156.320;30.500;1687.160;1298.260
KBPL9;1308;22.12.2018;Dombeya Goetzenii;4.420;45.350;10.270;248.820;12578.700;307.260;23136.660;6103.680;363.810;73.520;2999.060;422.240
