plotID;season;layer;o_hor;min_fr_liv;max_fr_liv;mean_fr_liv;sd_fr_liv;min_fr_dead;max_fr_dead;mean_fr_dead;sd_fr_dead;min_cr_liv;max_cr_liv;mean_cr_liv;sd_cr_liv;min_cr_dead;max_cr_dead;mean_cr_dead;sd_cr_dead;no
KBPL6;strong_rain;1;0.0000;0.4770;2.1210;1.1600;0.7170;0.0000;0.1680;0.0420;0.0840;0.0000;1.9700;0.6330;0.9300;0.0000;0.0000;0.0000;0.0000;4
KBPL6;strong_rain;2;0.0000;0.2010;1.0280;0.5230;0.3670;0.0000;0.0000;0.0000;0.0000;0.0000;1.6640;0.7310;0.8600;0.0000;0.0000;0.0000;0.0000;4
KBPL6;strong_rain;3;0.0000;0.0330;0.6420;0.2820;0.2670;0.0000;0.0000;0.0000;0.0000;0.5920;82.6810;23.9380;39.4360;0.0000;0.0000;0.0000;0.0000;4
KBPL6;strong_rain;4;0.0000;0.0000;0.2950;0.1050;0.1360;0.0000;0.0210;0.0050;0.0100;0.0000;0.6050;0.1560;0.2990;0.0000;0.0000;0.0000;0.0000;4
KBPL6;strong_rain;O;1.8750;1.3940;8.8710;6.3540;3.4300;0.0000;0.0000;0.0000;0.0000;0.0000;1.1240;0.2810;0.5620;0.0000;0.0000;0.0000;0.0000;4
KBPL6;weak_dry;1;0.0000;0.3030;1.0580;0.7640;0.3480;0.0000;0.0580;0.0230;0.0280;0.2920;1.5790;0.8950;0.6580;0.0000;0.0000;0.0000;0.0000;4
KBPL6;weak_dry;2;0.0000;0.0300;0.5510;0.2790;0.2160;0.0000;0.0330;0.0110;0.0160;0.0000;0.4270;0.1890;0.1830;0.0000;0.0000;0.0000;0.0000;4
KBPL6;weak_dry;3;0.0000;0.0850;0.3060;0.1680;0.1200;0.0000;0.0000;0.0000;0.0000;0.0000;0.3310;0.1100;0.1910;0.0000;0.3090;0.1140;0.0000;4
KBPL6;weak_dry;4;0.0000;0.0110;0.0870;0.0390;0.0420;0.0000;0.0140;0.0090;0.0080;0.0000;0.1410;0.0470;0.0810;0.0000;0.0000;0.0000;0.0000;4
KBPL6;weak_dry;O;3.2500;1.5610;6.1890;3.8750;3.2730;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4
KBPL6;weak_rain;1;0.0000;0.1540;1.1130;0.6460;0.3590;0.0000;0.2150;0.0270;0.0760;0.0000;3.8130;1.4560;1.2680;0.0000;0.0830;0.0150;0.0000;8
KBPL6;weak_rain;2;0.0000;0.1100;1.0630;0.3900;0.3150;0.0000;0.0000;0.0000;0.0000;0.0000;8.8430;2.5230;2.9520;0.0000;0.1650;0.0580;0.0000;8
