plotID;subplotID;sample_date;no_cores;layer;o_hor;fr_liv;fr_dead;cr_liv;cr_dead;dens_fr_liv;dens_fr_dead;dens_cr_liv;dens_cr_dead;;interval
NPL10;C;24.06.2019;1;3;0;0;0.031;0.527;4.221;0;0.085;1.452;11.629;;98
NPL6;A;10.09.2018;1;3;0;0;0;3.71;0;0;0;10.221;0;;0
NPL5;A;10.09.2018;1;1;0;0;0.2;0.04;2.4;0;0.551;0.11;6.612;;0
NPL10;A;24.06.2019;1;1;0;0;0.254;0.199;0;0;0.7;0.548;0;;98
NPL12;C;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
NPL12;B;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
NPL11;A;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
UPL2;A;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL11;A;10.09.2018;1;2;0;0;0.007;0;0;0;0.019;0;0;;0
NPL4;C;24.06.2019;1;2;0;0;0;0;0;0;0;0;0;;98
NPL4;B;20.12.2019;1;3;0;0;0;0;0;0;0;0;0;;85
NPL5;B;20.12.2019;1;4;0;0;0;23.124;0;0;0;31.853;0;;85
UPL1;D;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL11;D;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
UPL10;C;17.12.2019;1;4;0;0;0;0.08;0;0;0;0.11;0;;77
NPL4;C;16.03.2019;1;3;0;0;0;0.18;0;0;0;0.496;0;;95
NPL5;A;10.09.2018;1;2;0;0;0;0;0;0;0;0;0;;0
UPL2;B;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
NPL5;D;10.09.2018;1;2;0;0;0.018;0.19;0;0;0.05;0.523;0;;0
NPL11;B;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
NPL6;C;10.09.2018;1;4;0;0;0;0;0;0;0;0;0;;0
NPL9;D;25.09.2019;1;2;0;0;0;0;0;0;0;0;0;;90
NPL11;D;20.12.2019;1;3;0;0;0;0;0;0;0;0;0;;85
NPL12;A;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
NPL10;D;25.09.2019;1;4;0;0;0;0.018;0.417;0;0;0.025;0.574;;90
NPL2;D;11.12.2018;1;4;0;0;0;31.24;0;0;0;43.032;0;;90
NPL5;A;20.12.2019;1;2;0;0;0;0;0;0;0;0;0;;85
UPL7;A;29.09.2019;1;4;0;0;0;0;0;0;0;0;0;;80
UPL6;C;29.09.2019;1;4;0;0;0;0.45;0;0;0;0.62;0;;80
UPL11;D;17.12.2019;1;4;0;0;0;0;0;0;0;0;0;;77
NPL4;D;25.09.2019;1;3;0;0;0;0.239;0;0;0;0.658;0;;90
NPL4;C;24.06.2019;1;4;0;0;0;0;0;0;0;0;0;;98
UPL2;A;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
NPL2;C;20.12.2019;1;4;0;0;0;1.037;0;0;0;1.428;0;;85
NPL11;B;25.09.2019;1;3;0;0;0;0;0;0;0;0;0;;90
NPL10;D;24.06.2019;1;4;0;0;0.011;0;0;0;0.015;0;0;;98
NPL12;D;10.09.2018;1;3;0;0;0.108;0;0;0;0.298;0;0;;0
UPL10;A;17.12.2019;1;4;0;0;0;0;0;0;0;0;0;;77
NPL11;D;16.03.2019;1;3;0;0;0;0;0;0;0;0;0;;95
NPL6;B;20.12.2019;1;3;0;0;0;0.056;0;0;0;0.154;0;;85
NPL12;C;10.09.2018;1;4;0;0;0.054;0;0.33;0;0.074;0;0.455;;0
NPL3;B;20.12.2019;1;3;0;0;0;0;0;0;0;0;0;;85
NPL12;C;24.06.2019;1;3;0;0;0;0.894;0.177;0;0;2.463;0.488;;98
NPL12;A;25.09.2019;1;4;0;0;0;0;0;0;0;0;0;;90
NPL10;D;25.09.2019;1;3;0;0;0;0;0;0;0;0;0;;90
NPL11;A;24.06.2019;1;4;0;0;0;0;0;0;0;0;0;;98
NPL11;D;24.06.2019;1;4;0;0;0;0;0;0;0;0;0;;98
NPL6;D;16.03.2019;1;3;0;0;0.012;0;0;0;0.033;0;0;;95
NPL12;B;24.06.2019;1;2;0;0;0;0;0;0;0;0;0;;98
NPL6;C;10.09.2018;1;2;0;0;0.07;0;0.06;0;0.193;0;0.165;;0
NPL7;B;25.09.2019;1;4;0;0;0;0.275;0;0;0;0.379;0;;90
NPL1;A;20.12.2019;1;1;0;0;0;0.466;0;0;0;1.284;0;;85
NPL11;B;25.09.2019;1;2;0;0;0;0.98;0.399;0;0;2.7;1.099;;90
NPL8;A;11.12.2018;1;4;0;0;0;0;0;0;0;0;0;;90
NPL4;A;10.09.2018;1;2;0;0;0;0.045;0;0;0;0.124;0;;0
NPL10;A;25.09.2019;1;4;0;0;0;0;3.303;0;0;0;4.55;;90
UPL12;A;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL8;C;20.12.2019;1;4;0;0;0;1.457;0;0;0;2.007;0;;85
UPL10;B;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL3;A;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
UPL8;A;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL12;C;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
UPL2;D;22.03.2019;1;1;0;0;0;0.201;0;0;0;0.554;0;;107
NPL12;A;20.12.2019;1;3;0;0;0;0;0;0;0;0;0;;85
NPL10;A;16.03.2019;1;3;0;0;0;0;0;0;0;0;0;;95
UPL4;C;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL10;C;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL5;C;10.09.2018;1;3;0;0;0;6.14;0.34;0;0;16.915;0.937;;0
NPL4;B;25.09.2019;1;4;0;0;0;1.193;0;0;0;1.643;0;;90
NPL11;C;25.09.2019;1;4;0;0;0;0;0.925;0;0;0;1.274;;90
NPL3;B;10.09.2018;1;2;0;0;0.25;0;0.04;0;0.689;0;0.11;;0
NPL5;B;10.09.2018;1;1;0;0;0.077;0.254;0;0;0.212;0.7;0;;0
UPL10;B;17.12.2019;1;4;0;0;0.002;1.28;0;0;0.003;1.763;0;;77
NPL12;D;24.06.2019;1;3;0;0;0;0;0;0;0;0;0;;98
NPL10;A;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
NPL10;C;10.09.2018;1;2;0;0;0.08;0;0.266;0;0.22;0;0.733;;0
UPL9;D;22.03.2019;1;4;0;0;0;0;0;0;0;0;0;;107
NPL4;B;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
